,GELID,lat,lon,dep,e,n,z,azi1,dip1,sig1,azi2,dip2,sig2,azi3,dip3,sig3,NP,NS,CLID,LT,ML,SEDID,DateTime,Mw
42,Main01280,47.586420000000004,7.59237,4413,-97.3,36.4,59.0,49.9,-12.0,2.8,142.2,-11.0,4.2,273.4,-73.6,6.1,5,6,CL008,DG,,------,2006-12-03 18:25:23,0.6
43,Main01282,47.58765,7.59179,4132,141.2,173.1,-222.0,57.0,-14.7,2.8,148.9,-7.2,3.7,264.1,-73.5,6.4,6,6,CL052,DG,,------,2006-12-03 18:28:38,0.9
44,Main01286,47.586459999999995,7.592389999999999,4413,-95.8,40.8,59.0,212.1,9.1,3.3,124.1,-12.2,4.4,266.0,-74.7,6.1,4,5,CL008,DG,,------,2006-12-03 18:33:07,0.7
45,Main01297,47.58748,7.59317,4257,-37.3,154.4,-97.0,239.6,9.9,2.9,151.8,-12.9,3.9,293.2,-73.7,6.5,6,6,CL107,DG,,------,2006-12-03 19:01:40,1.1
46,Main01299,47.58644,7.59236,4413,-98.0,38.6,59.0,57.1,-11.2,3.0,148.7,-7.8,4.2,272.8,-76.3,5.9,6,6,CL008,DG,,------,2006-12-03 19:14:37,0.8
47,Main01303,47.58596,7.5932,4405,-34.7,-14.6,51.0,52.8,-8.0,2.8,325.5,18.8,4.0,300.8,-69.4,6.0,4,5,CL005,DG,,------,2006-12-03 19:20:18,0.5
48,Main01316,47.58508,7.59375,4385,6.8,-112.4,31.0,53.1,-2.7,2.9,143.2,-2.6,4.2,277.9,-86.2,5.8,6,6,CL053,DG,,------,2006-12-03 19:47:46,0.9
49,Main01317,47.58554,7.59358,4408,-6.1,-61.3,54.0,23.8,5.2,28.9,291.2,26.3,43.2,304.1,-63.1,50.1,45,58,---,DD,1.7,SED005,2006-12-03 19:51:04,1.8
50,Main01332,47.58527,7.59398,4295,24.1,-91.2,-59.0,33.1,-18.4,4.1,125.2,-6.3,4.4,233.3,-70.5,6.1,5,5,CL040,DG,,------,2006-12-03 20:25:31,0.6
51,Main01334,47.5862,7.59329,4398,-28.0,12.1,44.0,52.1,-3.4,3.5,321.3,-14.4,8.1,155.1,-75.2,11.1,3,4,CL297,DG,,------,2006-12-03 20:28:50,0.5
52,Main01339,47.58558,7.594339999999999,4326,51.1,-56.7,-28.0,227.5,15.8,3.9,142.9,-18.3,4.5,279.2,-65.4,6.6,6,6,CL362,DG,,------,2006-12-03 20:53:48,0.6
53,Main01340,47.585370000000005,7.59408,4277,31.6,-80.1,-77.0,48.2,-4.4,3.0,318.7,6.9,4.0,286.3,-81.8,6.6,6,6,CL040,DG,,------,2006-12-03 20:58:34,0.8
54,Main01350,47.585409999999996,7.594539999999999,4331,66.2,-75.6,-23.0,53.4,-5.0,3.5,320.8,-26.8,7.6,153.0,-62.7,13.2,4,5,CL030,DG,,------,2006-12-03 21:24:36,0.4
